location;data;variavel;diasDuplicar;estimado;ultimosCasos;dataUltimosCasos;primeirosCasos;dataPrimeirosCasos
Brazil;2020-01-16;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-17;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-18;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-19;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-20;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-21;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-22;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-23;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-24;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-25;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-26;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-27;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-28;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-29;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-30;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-01-31;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-01;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-02;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-03;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-04;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-05;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-06;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-07;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-08;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-09;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-10;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-11;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-12;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-13;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-14;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-15;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-16;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
Brazil;2020-02-17;total_cases;13;1.93;208031;2020-05-15;107780;2020-05-04
