location;data;variavel;diasDuplicar;estimado;ultimosCasos;dataUltimosCasos;primeirosCasos;dataPrimeirosCasos
Afghanistan;2020-03-23;total_cases;10;1.9;40;2020-03-23;21;2020-03-16
Afghanistan;2020-03-24;total_cases;8;1.91;42;2020-03-24;22;2020-03-19
Afghanistan;2020-04-02;total_cases;6;2.06;235;2020-04-02;114;2020-03-29
Afghanistan;2020-04-03;total_cases;7;2.06;235;2020-04-03;114;2020-03-29
Afghanistan;2020-04-04;total_cases;8;1.91;270;2020-04-04;141;2020-03-30
Afghanistan;2020-04-06;total_cases;8;2.03;337;2020-04-06;166;2020-03-31
Afghanistan;2020-04-07;total_cases;9;1.91;367;2020-04-07;192;2020-04-01
Afghanistan;2020-04-09;total_cases;8;2.06;484;2020-04-09;235;2020-04-03
Afghanistan;2020-04-10;total_cases;9;1.93;521;2020-04-10;270;2020-04-04
Afghanistan;2020-04-11;total_cases;9;2.06;555;2020-04-11;270;2020-04-04
Afghanistan;2020-04-12;total_cases;9;2.03;607;2020-04-12;299;2020-04-05
Afghanistan;2020-04-13;total_cases;10;1.97;665;2020-04-13;337;2020-04-06
Afghanistan;2020-04-14;total_cases;10;1.95;714;2020-04-14;367;2020-04-07
Afghanistan;2020-04-17;total_cases;12;2;845;2020-04-17;423;2020-04-08
Afghanistan;2020-04-19;total_cases;12;1.91;996;2020-04-19;521;2020-04-10
Afghanistan;2020-04-20;total_cases;13;1.98;1031;2020-04-20;521;2020-04-10
Afghanistan;2020-04-21;total_cases;13;1.97;1092;2020-04-21;555;2020-04-11
Afghanistan;2020-04-22;total_cases;13;1.94;1176;2020-04-22;607;2020-04-12
Afghanistan;2020-04-23;total_cases;13;1.93;1281;2020-04-23;665;2020-04-13
Afghanistan;2020-04-24;total_cases;13;2.03;1351;2020-04-24;665;2020-04-13
Afghanistan;2020-04-25;total_cases;13;2.05;1463;2020-04-25;714;2020-04-14
Afghanistan;2020-04-26;total_cases;13;1.93;1531;2020-04-26;794;2020-04-16
Afghanistan;2020-04-27;total_cases;12;2.02;1703;2020-04-27;845;2020-04-17
Afghanistan;2020-04-28;total_cases;12;2.01;1827;2020-04-28;908;2020-04-18
Afghanistan;2020-04-29;total_cases;13;1.96;1949;2020-04-29;996;2020-04-19
Afghanistan;2020-04-30;total_cases;12;1.99;2171;2020-04-30;1092;2020-04-21
Afghanistan;2020-05-01;total_cases;12;1.99;2335;2020-05-01;1176;2020-04-22
Afghanistan;2020-05-02;total_cases;12;1.93;2469;2020-05-02;1281;2020-04-23
Afghanistan;2020-05-03;total_cases;11;2;2704;2020-05-03;1351;2020-04-24
Afghanistan;2020-05-04;total_cases;12;1.98;2894;2020-05-04;1463;2020-04-25
Afghanistan;2020-05-06;total_cases;12;1.99;3392;2020-05-06;1703;2020-04-27
Afghanistan;2020-05-07;total_cases;12;1.95;3563;2020-05-07;1827;2020-04-28
Afghanistan;2020-05-08;total_cases;12;1.94;3778;2020-05-08;1949;2020-04-29
Afghanistan;2020-05-09;total_cases;12;2.07;4033;2020-05-09;1949;2020-04-29
Afghanistan;2020-05-10;total_cases;12;2.03;4402;2020-05-10;2171;2020-04-30
Afghanistan;2020-05-11;total_cases;12;2.01;4687;2020-05-11;2335;2020-05-01
Afghanistan;2020-05-12;total_cases;12;2.01;4967;2020-05-12;2469;2020-05-02
Afghanistan;2020-05-13;total_cases;13;1.93;5226;2020-05-13;2704;2020-05-03
Afghanistan;2020-05-14;total_cases;14;1.97;5339;2020-05-14;2704;2020-05-03
Albania;2020-03-28;total_cases;8;1.97;197;2020-03-28;100;2020-03-23
Albania;2020-03-31;total_cases;10;1.98;243;2020-03-31;123;2020-03-24
Albania;2020-04-03;total_cases;11;2.08;304;2020-04-03;146;2020-03-25
Albania;2020-04-04;total_cases;12;1.91;333;2020-04-04;174;2020-03-26
Albania;2020-04-05;total_cases;12;1.94;361;2020-04-05;186;2020-03-27
Albania;2020-04-06;total_cases;12;1.91;377;2020-04-06;197;2020-03-28
Albania;2020-04-07;total_cases;13;1.94;383;2020-04-07;197;2020-03-28
Albania;2020-04-08;total_cases;13;2.03;400;2020-04-08;197;2020-03-28
Albania;2020-04-09;total_cases;14;1.93;409;2020-04-09;212;2020-03-29
Albania;2020-04-10;total_cases;15;1.96;416;2020-04-10;212;2020-03-29
Albania;2020-04-11;total_cases;15;1.94;433;2020-04-11;223;2020-03-30
Albania;2020-04-12;total_cases;15;2;446;2020-04-12;223;2020-03-30
Albania;2020-04-13;total_cases;16;1.92;467;2020-04-13;243;2020-03-31
Albania;2020-04-14;total_cases;17;1.95;475;2020-04-14;243;2020-03-31
Albania;2020-04-15;total_cases;17;1.91;494;2020-04-15;259;2020-04-01
Albania;2020-04-16;total_cases;17;2;518;2020-04-16;259;2020-04-01
Albania;2020-04-17;total_cases;18;1.95;539;2020-04-17;277;2020-04-02
Albania;2020-04-18;total_cases;19;1.98;548;2020-04-18;277;2020-04-02
Albania;2020-04-19;total_cases;19;2.03;562;2020-04-19;277;2020-04-02
Albania;2020-04-20;total_cases;20;1.92;584;2020-04-20;304;2020-04-03
Albania;2020-04-21;total_cases;20;2;609;2020-04-21;304;2020-04-03
Albania;2020-04-22;total_cases;21;1.9;634;2020-04-22;333;2020-04-04
Albania;2020-04-23;total_cases;22;1.99;663;2020-04-23;333;2020-04-04
Albania;2020-04-24;total_cases;22;2.04;678;2020-04-24;333;2020-04-04
Albania;2020-04-25;total_cases;23;1.97;712;2020-04-25;361;2020-04-05
Albania;2020-04-26;total_cases;23;1.93;726;2020-04-26;377;2020-04-06
Albania;2020-04-27;total_cases;23;1.92;736;2020-04-27;383;2020-04-07
Albania;2020-04-28;total_cases;24;1.96;750;2020-04-28;383;2020-04-07
Albania;2020-04-29;total_cases;24;1.92;766;2020-04-29;400;2020-04-08
Albania;2020-04-30;total_cases;25;1.93;773;2020-04-30;400;2020-04-08
Albania;2020-05-01;total_cases;25;1.91;782;2020-05-01;409;2020-04-09
Albania;2020-05-02;total_cases;26;1.93;789;2020-05-02;409;2020-04-09
Albania;2020-05-03;total_cases;26;1.91;795;2020-05-03;416;2020-04-10
Albania;2020-05-04;total_cases;27;1.93;803;2020-05-04;416;2020-04-10
Albania;2020-05-05;total_cases;28;1.97;820;2020-05-05;416;2020-04-10
Albania;2020-05-06;total_cases;28;1.92;832;2020-05-06;433;2020-04-11
Albania;2020-05-07;total_cases;29;1.94;842;2020-05-07;433;2020-04-11
Albania;2020-05-08;total_cases;29;1.91;850;2020-05-08;446;2020-04-12
Albania;2020-05-09;total_cases;30;1.92;856;2020-05-09;446;2020-04-12
