"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,1,1,1,0,1
2020-02-01,1,1,1,0,1
2020-02-02,1,1,1,0,1
2020-02-03,1,1,1,0,1
2020-02-04,1,1,1,0,1
2020-02-05,2,2,2,0,1
2020-02-06,2,2,2,0,1
2020-02-07,2,2,2,0,1
2020-02-08,3,3,3,0,1
2020-02-09,4,4,4,0,2
2020-02-10,5,5,5,0,2
2020-02-11,5,6,7,0,2
2020-02-12,6,7,8,1,2
2020-02-13,8,9,10,1,2
2020-02-14,10,11,12,1,2
2020-02-15,13,14,15,1,2
2020-02-16,16,17,18,1,2
2020-02-17,19,21,23,2,2
2020-02-18,24,26,28,2,2
2020-02-19,30,33,36,3,2
2020-02-20,37,41,45,3,2
2020-02-21,46,50,54,4,2
2020-02-22,58,63,68,5,2
2020-02-23,71,78,85,6,2
2020-02-24,88,96,104,8,3
2020-02-25,110,120,130,9,7
2020-02-26,136,149,162,12,12
2020-02-27,169,185,201,14,25
2020-02-28,210,230,250,18,34
2020-02-29,260,285,310,22,66
2020-03-01,323,354,385,28,83
2020-03-02,401,439,477,34,114
2020-03-03,499,546,593,43,151
2020-03-04,618,677,736,53,200
2020-03-05,767,840,913,66,261
2020-03-06,953,1043,1133,82,374
2020-03-07,1181,1293,1405,101,430
2020-03-08,1465,1604,1743,125,589
2020-03-09,1816,1988,2160,155,1204
2020-03-10,2250,2463,2676,193,1639
2020-03-11,2786,3050,3314,238,2140
2020-03-12,3448,3774,4100,295,3004
2020-03-13,4262,4665,5068,365,4231
2020-03-14,5262,5760,6258,450,5753
2020-03-15,6489,7103,7717,555,7753
2020-03-16,7987,8742,9497,683,9191
2020-03-17,9810,10738,11666,840,11178
2020-03-18,12019,13156,14293,1029,13716
2020-03-19,14681,16070,17459,1256,17147
2020-03-20,17866,19556,21246,1529,19980
2020-03-21,21647,23694,25741,1852,24926
2020-03-22,26091,28559,31027,2233,28572
2020-03-23,31257,34214,37171,2675,33089
2020-03-24,37186,40703,44220,3182,39673
2020-03-25,43887,48038,52189,3756,47610
2020-03-26,51334,56190,61046,4393,56188
2020-03-27,59457,65081,70705,5088,65719
2020-03-28,68136,74581,81026,5831,NA
2020-03-29,77210,84513,91816,6607,NA
2020-03-30,86481,94661,102841,7401,NA
2020-03-31,95737,104792,113847,8193,NA
2020-04-01,104763,114672,124581,8965,NA
2020-04-02,113367,124090,134813,9702,NA
2020-04-03,121394,132876,144358,10388,NA
