location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-05-27;total_cases;10;2020-05-20;2817;2020-05-27;5251;1.86
AL;2020-05-27;total_cases;12;2020-05-18;4031;2020-05-27;7580;1.88
AM;2020-05-27;total_cases;15;2020-05-15;18392;2020-05-27;33508;1.82
AP;2020-05-27;total_cases;12;2020-05-18;4023;2020-05-27;7619;1.89
BA;2020-05-27;total_cases;14;2020-05-16;8314;2020-05-27;15070;1.81
CE;2020-05-27;total_cases;17;2020-05-13;19156;2020-05-27;37275;1.95
DF;2020-05-27;total_cases;14;2020-05-16;4140;2020-05-27;7761;1.87
ES;2020-05-27;total_cases;15;2020-05-15;6198;2020-05-27;11484;1.85
GO;2020-05-27;total_cases;15;2020-05-15;1572;2020-05-27;2843;1.81
MA;2020-05-27;total_cases;11;2020-05-19;14198;2020-05-27;26145;1.84
MG;2020-05-27;total_cases;15;2020-05-15;4196;2020-05-27;8011;1.91
MS;2020-05-27;total_cases;11;2020-05-19;642;2020-05-27;1186;1.85
MT;2020-05-27;total_cases;11;2020-05-19;995;2020-05-27;1839;1.85
PA;2020-05-27;total_cases;11;2020-05-19;16295;2020-05-27;31033;1.9
PB;2020-05-27;total_cases;11;2020-05-19;5300;2020-05-27;10209;1.93
PE;2020-05-27;total_cases;15;2020-05-15;16209;2020-05-27;29919;1.85
PI;2020-05-27;total_cases;14;2020-05-16;2085;2020-05-27;3966;1.9
PR;2020-05-27;total_cases;17;2020-05-13;1996;2020-05-27;3712;1.86
RJ;2020-05-27;total_cases;13;2020-05-17;22238;2020-05-27;42398;1.91
RN;2020-05-27;total_cases;14;2020-05-16;3004;2020-05-27;5630;1.87
RO;2020-05-27;total_cases;12;2020-05-18;2043;2020-05-27;3862;1.89
RR;2020-05-27;total_cases;17;2020-05-13;1411;2020-05-27;2682;1.9
RS;2020-05-27;total_cases;11;2020-05-19;3750;2020-05-27;7048;1.88
SC;2020-05-27;total_cases;17;2020-05-13;3828;2020-05-27;7372;1.93
SE;2020-05-27;total_cases;14;2020-05-16;3135;2020-05-27;5912;1.89
SP;2020-05-27;total_cases;18;2020-05-12;47719;2020-05-27;89483;1.88
TO;2020-05-27;total_cases;11;2020-05-19;1646;2020-05-27;3023;1.84
