location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-05-19;total_cases;13;2020-05-09;1335;2020-05-19;2482;1.86
AL;2020-05-19;total_cases;11;2020-05-11;2343;2020-05-19;4316;1.84
AM;2020-05-19;total_cases;13;2020-05-09;11925;2020-05-19;22132;1.86
AP;2020-05-19;total_cases;14;2020-05-08;2322;2020-05-19;4310;1.86
BA;2020-05-19;total_cases;11;2020-05-11;5808;2020-05-19;11013;1.9
CE;2020-05-19;total_cases;5;2020-05-18;471;2020-05-19;931;1.98
DF;2020-05-19;total_cases;12;2020-05-10;2682;2020-05-19;4853;1.81
ES;2020-05-19;total_cases;14;2020-05-08;4242;2020-05-19;7693;1.81
GO;2020-05-19;total_cases;16;2020-05-06;1024;2020-05-19;1846;1.8
MA;2020-05-19;total_cases;12;2020-05-10;7599;2020-05-19;14198;1.87
MG;2020-05-19;total_cases;16;2020-05-06;2605;2020-05-19;4977;1.91
PA;2020-05-19;total_cases;10;2020-05-12;8616;2020-05-19;16295;1.89
PB;2020-05-19;total_cases;10;2020-05-12;2777;2020-05-19;5300;1.91
PE;2020-05-19;total_cases;14;2020-05-08;11587;2020-05-19;21242;1.83
PI;2020-05-19;total_cases;11;2020-05-11;1332;2020-05-19;2440;1.83
PR;2020-05-19;total_cases;23;2020-04-29;1348;2020-05-19;2481;1.84
RJ;2020-05-19;total_cases;15;2020-05-07;14156;2020-05-19;27805;1.96
RN;2020-05-19;total_cases;12;2020-05-10;1928;2020-05-19;3483;1.81
RO;2020-05-19;total_cases;14;2020-05-08;1222;2020-05-19;2257;1.85
RR;2020-05-19;total_cases;15;2020-05-07;1020;2020-05-19;1985;1.95
RS;2020-05-19;total_cases;16;2020-05-06;2050;2020-05-19;3750;1.83
SC;2020-05-19;total_cases;16;2020-05-06;2917;2020-05-19;5413;1.86
SE;2020-05-19;total_cases;10;2020-05-12;2032;2020-05-19;3967;1.95
SP;2020-05-19;total_cases;17;2020-05-05;34053;2020-05-19;65995;1.94
