location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-06-27;total_cases;26;2020-06-04;7021;2020-06-27;12913;1.84
AL;2020-06-27;total_cases;20;2020-06-10;18176;2020-06-27;33521;1.84
AM;2020-06-27;total_cases;33;2020-05-28;36146;2020-06-27;69022;1.91
AP;2020-06-27;total_cases;19;2020-06-11;15166;2020-06-27;27901;1.84
BA;2020-06-27;total_cases;17;2020-06-13;35788;2020-06-27;65244;1.82
CE;2020-06-27;total_cases;27;2020-06-03;56056;2020-06-27;106628;1.9
DF;2020-06-27;total_cases;15;2020-06-15;23684;2020-06-27;42766;1.81
ES;2020-06-27;total_cases;21;2020-06-09;21964;2020-06-27;41652;1.9
GO;2020-06-27;total_cases;14;2020-06-16;11264;2020-06-27;21620;1.92
MA;2020-06-27;total_cases;25;2020-06-05;43313;2020-06-27;78115;1.8
MG;2020-06-27;total_cases;14;2020-06-16;22024;2020-06-27;40966;1.86
MS;2020-06-27;total_cases;14;2020-06-16;3785;2020-06-27;7307;1.93
MT;2020-06-27;total_cases;12;2020-06-18;7512;2020-06-27;13805;1.84
PA;2020-06-27;total_cases;23;2020-06-07;54271;2020-06-27;99313;1.83
PB;2020-06-27;total_cases;20;2020-06-10;24032;2020-06-27;44242;1.84
PE;2020-06-27;total_cases;33;2020-05-28;30713;2020-06-27;57089;1.86
PI;2020-06-27;total_cases;15;2020-06-15;10357;2020-06-27;18665;1.8
PR;2020-06-27;total_cases;14;2020-06-16;10557;2020-06-27;19819;1.88
RJ;2020-06-27;total_cases;27;2020-06-03;59240;2020-06-27;108803;1.84
RN;2020-06-27;total_cases;19;2020-06-11;13234;2020-06-27;24253;1.83
RO;2020-06-27;total_cases;19;2020-06-11;10547;2020-06-27;19271;1.83
RR;2020-06-27;total_cases;13;2020-06-17;7150;2020-06-27;13078;1.83
RS;2020-06-27;total_cases;20;2020-06-10;13619;2020-06-27;25000;1.84
SC;2020-06-27;total_cases;18;2020-06-12;13165;2020-06-27;23808;1.81
SE;2020-06-27;total_cases;17;2020-06-13;12866;2020-06-27;23319;1.81
SP;2020-06-27;total_cases;22;2020-06-08;144593;2020-06-27;265581;1.84
TO;2020-06-27;total_cases;24;2020-06-06;5505;2020-06-27;9966;1.81
