location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-10-01;total_cases;86;2020-07-10;15768;2020-10-01;28409;1.8
AL;2020-10-01;total_cases;81;2020-07-15;47864;2020-10-01;87504;1.83
AM;2020-10-01;total_cases;90;2020-07-06;76424;2020-10-01;140240;1.84
AP;2020-10-01;total_cases;103;2020-06-23;26437;2020-10-01;48385;1.83
BA;2020-10-01;total_cases;62;2020-08-03;171391;2020-10-01;312050;1.82
CE;2020-10-01;total_cases;86;2020-07-10;133546;2020-10-01;241684;1.81
DF;2020-10-01;total_cases;65;2020-07-31;106292;2020-10-01;193127;1.82
ES;2020-10-01;total_cases;75;2020-07-21;72601;2020-10-01;132350;1.82
GO;2020-10-01;total_cases;42;2020-08-23;116664;2020-10-01;212186;1.82
MA;2020-10-01;total_cases;86;2020-07-10;96718;2020-10-01;174195;1.8
MG;2020-10-01;total_cases;52;2020-08-13;164915;2020-10-01;298607;1.81
MS;2020-10-01;total_cases;47;2020-08-18;38393;2020-10-01;70239;1.83
MT;2020-10-01;total_cases;53;2020-08-12;68924;2020-10-01;124370;1.8
PA;2020-10-01;total_cases;82;2020-07-14;128570;2020-10-01;231743;1.8
PB;2020-10-01;total_cases;77;2020-07-19;67382;2020-10-01;121809;1.81
PE;2020-10-01;total_cases;74;2020-07-22;81382;2020-10-01;147872;1.82
PI;2020-10-01;total_cases;62;2020-08-03;53224;2020-10-01;96849;1.82
PR;2020-10-01;total_cases;52;2020-08-13;99667;2020-10-01;180805;1.81
RJ;2020-10-01;total_cases;75;2020-07-21;145121;2020-10-01;266235;1.83
RN;2020-10-01;total_cases;85;2020-07-11;38616;2020-10-01;69715;1.81
RO;2020-10-01;total_cases;69;2020-07-27;36148;2020-10-01;66261;1.83
RR;2020-10-01;total_cases;73;2020-07-23;27932;2020-10-01;50681;1.81
RS;2020-10-01;total_cases;43;2020-08-22;108839;2020-10-01;197186;1.81
SC;2020-10-01;total_cases;50;2020-08-15;120001;2020-10-01;216624;1.81
SE;2020-10-01;total_cases;78;2020-07-18;43072;2020-10-01;77635;1.8
SP;2020-10-01;total_cases;65;2020-07-31;542304;2020-10-01;991725;1.83
TO;2020-10-01;total_cases;48;2020-08-17;37856;2020-10-01;68606;1.81
