"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Mexico",2019-12-30,0,0,0,0,0
"Mexico",2019-12-31,0,0,0,0,0
"Mexico",2020-01-01,0,0,0,0,0
"Mexico",2020-01-02,0,0,0,0,0
"Mexico",2020-01-03,0,0,0,0,0
"Mexico",2020-01-04,0,0,0,0,0
"Mexico",2020-01-05,0,0,0,0,0
"Mexico",2020-01-06,0,0,0,0,0
"Mexico",2020-01-07,0,0,0,0,0
"Mexico",2020-01-08,0,0,0,0,0
"Mexico",2020-01-09,0,0,0,0,0
"Mexico",2020-01-10,0,0,0,0,0
"Mexico",2020-01-11,0,0,0,0,0
"Mexico",2020-01-12,0,0,0,0,0
"Mexico",2020-01-13,0,0,0,0,0
"Mexico",2020-01-14,0,0,0,0,0
"Mexico",2020-01-15,0,0,0,0,0
"Mexico",2020-01-16,0,0,0,0,0
"Mexico",2020-01-17,0,0,0,0,0
"Mexico",2020-01-18,0,0,0,0,0
"Mexico",2020-01-19,0,0,0,0,0
"Mexico",2020-01-20,0,0,0,0,0
"Mexico",2020-01-21,0,0,0,0,0
"Mexico",2020-01-22,0,0,0,0,0
"Mexico",2020-01-23,0,0,0,0,0
"Mexico",2020-01-24,0,0,0,0,0
"Mexico",2020-01-25,0,0,0,0,0
"Mexico",2020-01-26,0,0,0,0,0
"Mexico",2020-01-27,0,0,0,0,0
"Mexico",2020-01-28,0,0,0,0,0
"Mexico",2020-01-29,0,0,0,0,0
"Mexico",2020-01-30,0,0,0,0,0
"Mexico",2020-01-31,0,0,0,0,0
"Mexico",2020-02-01,0,0,0,0,0
"Mexico",2020-02-02,0,0,0,0,0
"Mexico",2020-02-03,0,0,0,0,0
"Mexico",2020-02-04,0,0,0,0,0
"Mexico",2020-02-05,0,0,0,0,0
"Mexico",2020-02-06,0,0,0,0,0
"Mexico",2020-02-07,0,0,0,0,0
"Mexico",2020-02-08,0,0,0,0,0
"Mexico",2020-02-09,0,0,0,0,0
"Mexico",2020-02-10,0,0,0,0,0
"Mexico",2020-02-11,0,0,0,0,0
"Mexico",2020-02-12,0,0,0,0,0
"Mexico",2020-02-13,0,0,0,0,0
"Mexico",2020-02-14,0,0,0,0,0
"Mexico",2020-02-15,0,0,0,0,0
"Mexico",2020-02-16,1,1,1,0,0
"Mexico",2020-02-17,1,1,1,0,0
"Mexico",2020-02-18,1,1,1,0,0
"Mexico",2020-02-19,1,1,1,0,0
"Mexico",2020-02-20,1,1,1,0,0
"Mexico",2020-02-21,1,1,1,0,0
"Mexico",2020-02-22,1,2,3,0,0
"Mexico",2020-02-23,1,2,3,0,0
"Mexico",2020-02-24,1,2,3,0,0
"Mexico",2020-02-25,2,3,4,0,0
"Mexico",2020-02-26,2,3,4,0,0
"Mexico",2020-02-27,3,4,5,0,0
"Mexico",2020-02-28,4,5,6,0,2
"Mexico",2020-02-29,4,6,8,0,4
"Mexico",2020-03-01,5,7,9,0,5
"Mexico",2020-03-02,6,8,10,0,0
"Mexico",2020-03-03,7,10,13,0,0
"Mexico",2020-03-04,8,11,14,0,0
"Mexico",2020-03-05,10,14,18,0,0
"Mexico",2020-03-06,11,16,21,0,0
"Mexico",2020-03-07,14,20,26,0,0
"Mexico",2020-03-08,16,23,30,0,7
"Mexico",2020-03-09,20,28,36,0,0
"Mexico",2020-03-10,23,33,43,1,0
"Mexico",2020-03-11,28,40,52,1,11
"Mexico",2020-03-12,33,47,61,1,16
"Mexico",2020-03-13,39,56,73,1,26
"Mexico",2020-03-14,47,67,87,1,41
"Mexico",2020-03-15,56,80,104,1,53
"Mexico",2020-03-16,67,96,125,2,82
"Mexico",2020-03-17,80,114,148,2,93
"Mexico",2020-03-18,95,136,177,2,118
"Mexico",2020-03-19,114,163,212,3,164
"Mexico",2020-03-20,136,194,252,3,203
"Mexico",2020-03-21,163,232,301,4,251
"Mexico",2020-03-22,194,276,358,5,316
"Mexico",2020-03-23,232,330,428,6,367
"Mexico",2020-03-24,276,394,512,7,405
"Mexico",2020-03-25,330,470,610,8,475
"Mexico",2020-03-26,393,560,727,9,585
"Mexico",2020-03-27,469,669,869,11,717
"Mexico",2020-03-28,560,798,1036,13,717
"Mexico",2020-03-29,668,952,1236,16,NA
"Mexico",2020-03-30,797,1136,1475,19,NA
"Mexico",2020-03-31,952,1356,1760,23,NA
"Mexico",2020-04-01,1135,1618,2101,27,NA
"Mexico",2020-04-02,1355,1931,2507,32,NA
"Mexico",2020-04-03,1617,2304,2991,39,NA
"Mexico",2020-04-04,1929,2749,3569,46,NA
