"dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
2019-12-30,0,0,0,0,0
2019-12-31,0,0,0,0,0
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,1,1,1,0,0
2020-02-19,1,1,1,0,0
2020-02-20,1,1,1,0,0
2020-02-21,1,1,1,0,0
2020-02-22,2,2,2,0,0
2020-02-23,2,2,2,0,0
2020-02-24,3,3,3,0,0
2020-02-25,4,4,4,0,2
2020-02-26,5,6,7,0,2
2020-02-27,6,7,8,0,5
2020-02-28,9,10,11,0,7
2020-02-29,12,13,14,0,10
2020-03-01,15,17,19,0,14
2020-03-02,21,23,25,0,18
2020-03-03,27,30,33,0,24
2020-03-04,36,40,44,0,29
2020-03-05,48,53,58,0,41
2020-03-06,63,70,77,0,74
2020-03-07,83,92,101,0,99
2020-03-08,110,122,134,1,102
2020-03-09,146,161,176,1,131
2020-03-10,192,212,232,1,182
2020-03-11,251,278,305,1,246
2020-03-12,330,365,400,2,361
2020-03-13,431,477,523,3,504
2020-03-14,563,622,681,3,655
2020-03-15,729,806,883,4,860
2020-03-16,940,1039,1138,6,1016
2020-03-17,1201,1328,1455,7,1332
2020-03-18,1522,1682,1842,9,1646
2020-03-19,1904,2105,2306,11,2196
2020-03-20,2351,2599,2847,14,2649
2020-03-21,2856,3157,3458,17,3024
2020-03-22,3410,3770,4130,20,3631
2020-03-23,3995,4416,4837,24,4486
2020-03-24,4589,5073,5557,27,5282
2020-03-25,5169,5714,6259,31,5588
2020-03-26,5715,6318,6921,34,NA
2020-03-27,6210,6865,7520,37,NA
2020-03-28,6644,7345,8046,39,NA
2020-03-29,7015,7755,8495,42,NA
2020-03-30,7323,8096,8869,43,NA
2020-03-31,7575,8374,9173,45,NA
2020-04-01,7777,8597,9417,46,NA
