"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados"
"Senegal",2019-12-30,0,0,0,NA,0
"Senegal",2019-12-31,0,0,0,NA,0
"Senegal",2020-01-01,0,0,0,NA,0
"Senegal",2020-01-02,0,0,0,NA,0
"Senegal",2020-01-03,0,0,0,NA,0
"Senegal",2020-01-04,0,0,0,NA,0
"Senegal",2020-01-05,0,0,0,NA,0
"Senegal",2020-01-06,0,0,0,NA,0
"Senegal",2020-01-07,0,0,0,NA,0
"Senegal",2020-01-08,0,0,0,NA,0
"Senegal",2020-01-09,0,0,0,NA,0
"Senegal",2020-01-10,0,0,0,NA,0
"Senegal",2020-01-11,0,0,0,NA,0
"Senegal",2020-01-12,0,0,0,NA,0
"Senegal",2020-01-13,0,0,0,NA,0
"Senegal",2020-01-14,0,0,0,NA,0
"Senegal",2020-01-15,0,0,0,NA,0
"Senegal",2020-01-16,0,0,0,NA,0
"Senegal",2020-01-17,0,0,0,NA,0
"Senegal",2020-01-18,0,0,0,NA,0
"Senegal",2020-01-19,0,0,0,NA,0
"Senegal",2020-01-20,0,0,0,NA,0
"Senegal",2020-01-21,0,0,0,NA,0
"Senegal",2020-01-22,0,0,0,NA,0
"Senegal",2020-01-23,0,0,0,NA,0
"Senegal",2020-01-24,0,0,0,NA,0
"Senegal",2020-01-25,0,0,0,NA,0
"Senegal",2020-01-26,0,0,0,NA,0
"Senegal",2020-01-27,0,0,0,NA,0
"Senegal",2020-01-28,0,0,0,NA,0
"Senegal",2020-01-29,0,0,0,NA,0
"Senegal",2020-01-30,0,0,0,NA,0
"Senegal",2020-01-31,0,0,0,NA,0
"Senegal",2020-02-01,0,0,0,NA,0
"Senegal",2020-02-02,0,0,0,NA,0
"Senegal",2020-02-03,0,0,0,NA,0
"Senegal",2020-02-04,0,0,0,NA,0
"Senegal",2020-02-05,0,0,0,NA,0
"Senegal",2020-02-06,0,0,0,NA,0
"Senegal",2020-02-07,0,0,0,NA,0
"Senegal",2020-02-08,0,0,0,NA,0
"Senegal",2020-02-09,0,0,0,NA,0
"Senegal",2020-02-10,0,0,0,NA,0
"Senegal",2020-02-11,0,0,0,NA,0
"Senegal",2020-02-12,0,0,0,NA,0
"Senegal",2020-02-13,0,0,0,NA,0
"Senegal",2020-02-14,0,0,0,NA,0
"Senegal",2020-02-15,0,0,0,NA,0
"Senegal",2020-02-16,0,0,0,NA,0
"Senegal",2020-02-17,0,0,0,NA,0
"Senegal",2020-02-18,0,0,0,NA,0
"Senegal",2020-02-19,0,0,0,NA,0
"Senegal",2020-02-20,0,0,0,NA,0
"Senegal",2020-02-21,0,0,0,NA,0
"Senegal",2020-02-22,0,0,0,NA,0
"Senegal",2020-02-23,0,0,0,NA,0
"Senegal",2020-02-24,0,0,0,NA,0
"Senegal",2020-02-25,0,0,0,NA,0
"Senegal",2020-02-26,0,0,0,NA,0
"Senegal",2020-02-27,0,0,0,NA,0
"Senegal",2020-02-28,1,1,1,NA,0
"Senegal",2020-02-29,1,1,1,NA,0
"Senegal",2020-03-01,1,1,1,NA,0
"Senegal",2020-03-02,1,1,1,NA,1
"Senegal",2020-03-03,1,1,1,NA,0
"Senegal",2020-03-04,2,2,2,NA,3
"Senegal",2020-03-05,2,2,2,NA,4
"Senegal",2020-03-06,2,3,4,NA,0
"Senegal",2020-03-07,2,3,4,NA,0
"Senegal",2020-03-08,3,4,5,NA,0
"Senegal",2020-03-09,4,5,6,NA,0
"Senegal",2020-03-10,6,7,8,NA,0
"Senegal",2020-03-11,6,8,10,NA,0
"Senegal",2020-03-12,8,10,12,NA,6
"Senegal",2020-03-13,11,13,15,NA,19
"Senegal",2020-03-14,12,15,18,NA,21
"Senegal",2020-03-15,15,19,23,NA,26
"Senegal",2020-03-16,19,23,27,NA,27
"Senegal",2020-03-17,23,28,33,NA,31
"Senegal",2020-03-18,28,34,40,NA,36
"Senegal",2020-03-19,33,41,49,NA,36
"Senegal",2020-03-20,40,49,58,NA,47
"Senegal",2020-03-21,46,57,68,NA,56
"Senegal",2020-03-22,54,67,80,NA,67
"Senegal",2020-03-23,62,77,92,NA,79
"Senegal",2020-03-24,71,87,103,NA,86
"Senegal",2020-03-25,79,98,117,NA,99
"Senegal",2020-03-26,88,108,128,NA,105
"Senegal",2020-03-27,96,119,142,NA,119
"Senegal",2020-03-28,104,128,152,NA,130
"Senegal",2020-03-29,111,137,163,NA,NA
"Senegal",2020-03-30,118,145,172,NA,NA
"Senegal",2020-03-31,123,152,181,NA,NA
"Senegal",2020-04-01,128,158,188,NA,NA
"Senegal",2020-04-02,132,163,194,NA,NA
"Senegal",2020-04-03,135,167,199,NA,NA
"Senegal",2020-04-04,139,171,203,NA,NA
