location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-05-23;total_cases;9;2020-05-17;1997;2020-05-23;3867;1.94
AL;2020-05-23;total_cases;12;2020-05-14;2972;2020-05-23;5630;1.89
AM;2020-05-23;total_cases;13;2020-05-13;15816;2020-05-23;28802;1.82
AP;2020-05-23;total_cases;12;2020-05-13;3005;2020-05-23;6091;2.03
BA;2020-05-23;total_cases;12;2020-05-14;6955;2020-05-23;13000;1.87
CE;2020-05-23;total_cases;13;2020-05-13;19156;2020-05-23;35122;1.83
DF;2020-05-23;total_cases;12;2020-05-14;3416;2020-05-23;6251;1.83
ES;2020-05-23;total_cases;13;2020-05-13;5401;2020-05-23;9918;1.84
GO;2020-05-23;total_cases;12;2020-05-13;1134;2020-05-23;2377;2.1
MA;2020-05-23;total_cases;12;2020-05-14;9801;2020-05-23;18767;1.91
MG;2020-05-23;total_cases;14;2020-05-12;3435;2020-05-23;6338;1.85
MT;2020-05-23;total_cases;12;2020-05-14;719;2020-05-23;1352;1.88
PA;2020-05-23;total_cases;11;2020-05-15;12109;2020-05-23;22697;1.87
PB;2020-05-23;total_cases;10;2020-05-16;4063;2020-05-23;7508;1.85
PE;2020-05-23;total_cases;14;2020-05-12;14309;2020-05-23;26786;1.87
PI;2020-05-23;total_cases;12;2020-05-14;1784;2020-05-23;3258;1.83
PR;2020-05-23;total_cases;18;2020-05-08;1711;2020-05-23;3099;1.81
RJ;2020-05-23;total_cases;13;2020-05-13;18728;2020-05-23;34533;1.84
RN;2020-05-23;total_cases;12;2020-05-14;2537;2020-05-23;4599;1.81
RO;2020-05-23;total_cases;12;2020-05-14;1686;2020-05-23;3109;1.84
RR;2020-05-23;total_cases;15;2020-05-11;1295;2020-05-23;2374;1.83
RS;2020-05-23;total_cases;11;2020-05-14;2997;2020-05-23;6336;2.11
SC;2020-05-23;total_cases;15;2020-05-11;3529;2020-05-23;6607;1.87
SE;2020-05-23;total_cases;11;2020-05-14;2494;2020-05-23;5131;2.06
SP;2020-05-23;total_cases;17;2020-05-09;44411;2020-05-23;80558;1.81
