location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-10-05;total_deaths;99;2020-07-01;370;2020-10-05;667;1.8
AL;2020-10-05;total_deaths;95;2020-07-05;1153;2020-10-05;2103;1.82
AM;2020-10-05;total_deaths;121;2020-06-09;2315;2020-10-05;4185;1.81
AP;2020-10-05;total_deaths;105;2020-06-25;394;2020-10-05;718;1.82
BA;2020-10-05;total_deaths;62;2020-08-07;3843;2020-10-05;6953;1.81
CE;2020-10-05;total_deaths;115;2020-06-15;4999;2020-10-05;9056;1.81
DF;2020-10-05;total_deaths;58;2020-08-11;1815;2020-10-05;3346;1.84
ES;2020-10-05;total_deaths;89;2020-07-11;1984;2020-10-05;3594;1.81
GO;2020-10-05;total_deaths;48;2020-08-21;2647;2020-10-05;4868;1.84
MA;2020-10-05;total_deaths;99;2020-07-01;2081;2020-10-05;3807;1.83
MG;2020-10-05;total_deaths;52;2020-08-17;4223;2020-10-05;7656;1.81
MS;2020-10-05;total_deaths;45;2020-08-24;749;2020-10-05;1365;1.82
MT;2020-10-05;total_deaths;65;2020-08-04;1921;2020-10-05;3494;1.82
PA;2020-10-05;total_deaths;124;2020-06-06;3612;2020-10-05;6606;1.83
PB;2020-10-05;total_deaths;78;2020-07-22;1581;2020-10-05;2861;1.81
PE;2020-10-05;total_deaths;104;2020-06-26;4610;2020-10-05;8340;1.81
PI;2020-10-05;total_deaths;77;2020-07-23;1184;2020-10-05;2156;1.82
PR;2020-10-05;total_deaths;57;2020-08-12;2516;2020-10-05;4619;1.84
RJ;2020-10-05;total_deaths;98;2020-07-02;10332;2020-10-05;18780;1.82
RN;2020-10-05;total_deaths;92;2020-07-08;1326;2020-10-05;2402;1.81
RO;2020-10-05;total_deaths;78;2020-07-22;758;2020-10-05;1375;1.81
RR;2020-10-05;total_deaths;96;2020-07-04;364;2020-10-05;661;1.82
RS;2020-10-05;total_deaths;52;2020-08-17;2744;2020-10-05;4952;1.8
SC;2020-10-05;total_deaths;59;2020-08-10;1541;2020-10-05;2858;1.85
SE;2020-10-05;total_deaths;81;2020-07-19;1125;2020-10-05;2061;1.83
SP;2020-10-05;total_deaths;80;2020-07-20;19788;2020-10-05;36220;1.83
TO;2020-10-05;total_deaths;50;2020-08-19;536;2020-10-05;972;1.81
