location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-07-06;total_cases;31;2020-06-08;8128;2020-07-06;14688;1.81
AL;2020-07-06;total_cases;25;2020-06-14;22199;2020-07-06;40569;1.83
AM;2020-07-06;total_cases;38;2020-06-01;41774;2020-07-06;76424;1.83
AP;2020-07-06;total_cases;25;2020-06-14;16512;2020-07-06;30004;1.82
BA;2020-07-06;total_cases;17;2020-06-22;47086;2020-07-06;88279;1.87
CE;2020-07-06;total_cases;31;2020-06-08;65605;2020-07-06;122477;1.87
DF;2020-07-06;total_cases;18;2020-06-21;33227;2020-07-06;60383;1.82
ES;2020-07-06;total_cases;23;2020-06-16;28952;2020-07-06;54547;1.88
GO;2020-07-06;total_cases;18;2020-06-21;15619;2020-07-06;29296;1.88
MA;2020-07-06;total_cases;31;2020-06-08;49371;2020-07-06;90251;1.83
MG;2020-07-06;total_cases;14;2020-06-25;32769;2020-07-06;59626;1.82
MS;2020-07-06;total_cases;17;2020-06-22;5391;2020-07-06;10253;1.9
MT;2020-07-06;total_cases;15;2020-06-24;11443;2020-07-06;21496;1.88
PA;2020-07-06;total_cases;29;2020-06-10;62095;2020-07-06;114535;1.84
PB;2020-07-06;total_cases;24;2020-06-15;28668;2020-07-06;53151;1.85
PE;2020-07-06;total_cases;36;2020-06-03;36463;2020-07-06;65642;1.8
PI;2020-07-06;total_cases;17;2020-06-22;14476;2020-07-06;26511;1.83
PR;2020-07-06;total_cases;14;2020-06-25;17821;2020-07-06;32769;1.84
RJ;2020-07-06;total_cases;33;2020-06-06;64533;2020-07-06;121879;1.89
RN;2020-07-06;total_cases;18;2020-06-21;19290;2020-07-06;34984;1.81
RO;2020-07-06;total_cases;23;2020-06-16;13010;2020-07-06;23921;1.84
RR;2020-07-06;total_cases;16;2020-06-23;10340;2020-07-06;18948;1.83
RS;2020-07-06;total_cases;21;2020-06-18;17822;2020-07-06;32401;1.82
SC;2020-07-06;total_cases;17;2020-06-22;17937;2020-07-06;33822;1.89
SE;2020-07-06;total_cases;22;2020-06-17;16807;2020-07-06;30718;1.83
SP;2020-07-06;total_cases;25;2020-06-14;178202;2020-07-06;323070;1.81
TO;2020-07-06;total_cases;25;2020-06-14;6972;2020-07-06;12640;1.81
